date,close,high,low,open,volume,stock_name,ticker,daily_return_pct,price_range
2022-01-03,722.8,724.4,704.18,706.32,9069184,HDFC,HDFCBANK.NS,,20.21
2022-01-04,727.04,729.1,717.17,722.97,8857352,HDFC,HDFCBANK.NS,0.59,11.94
2022-01-05,744.3,747.7,726.82,730.96,14332638,HDFC,HDFCBANK.NS,2.37,20.88
2022-01-06,732.36,739.5,727.75,733.91,9628930,HDFC,HDFCBANK.NS,-1.6,11.75
2022-01-07,737.5,745.21,730.53,734.38,11179384,HDFC,HDFCBANK.NS,0.7,14.67
2022-01-10,741.59,747.7,735.1,741.04,8856496,HDFC,HDFCBANK.NS,0.55,12.6
2022-01-11,744.8,746.13,736.19,742.73,8389198,HDFC,HDFCBANK.NS,0.43,9.94
2022-01-12,740.4,749.91,738.19,745.8,21085530,HDFC,HDFCBANK.NS,-0.59,11.72
2022-01-13,726.77,739.62,723.16,739.62,41963896,HDFC,HDFCBANK.NS,-1.84,16.46
2022-01-14,734.93,736.62,722.49,727.73,11208968,HDFC,HDFCBANK.NS,1.12,14.13
2022-01-17,723.68,740.09,722.56,727.73,22989372,HDFC,HDFCBANK.NS,-1.53,17.53
2022-01-18,727.37,737.67,724.4,729.15,12341152,HDFC,HDFCBANK.NS,0.51,13.27
2022-01-19,722.23,732.36,719.81,729.63,14317626,HDFC,HDFCBANK.NS,-0.71,12.56
2022-01-20,717.74,727.01,713.5,726.99,15197846,HDFC,HDFCBANK.NS,-0.62,13.51
2022-01-21,723.73,727.63,706.61,713.46,11537694,HDFC,HDFCBANK.NS,0.83,21.02
2022-01-24,707.11,723.56,698.02,718.19,11868508,HDFC,HDFCBANK.NS,-2.3,25.54
2022-01-25,707.77,711.08,686.82,693.79,13594248,HDFC,HDFCBANK.NS,0.09,24.26
2022-01-27,701.54,706.32,682.54,689.67,28617838,HDFC,HDFCBANK.NS,-0.88,23.78
2022-01-28,695.98,707.13,694.43,702.75,24925208,HDFC,HDFCBANK.NS,-0.79,12.7
2022-01-31,706.65,709.44,697.67,700.5,12842546,HDFC,HDFCBANK.NS,1.53,11.77
2022-02-01,712.03,721.54,700.83,717.5,14739484,HDFC,HDFCBANK.NS,0.76,20.71
2022-02-02,728.3,730.1,716.12,719.14,13969290,HDFC,HDFCBANK.NS,2.28,13.98
2022-02-03,720.76,732.46,717.74,727.13,10564762,HDFC,HDFCBANK.NS,-1.04,14.72
2022-02-04,724.87,729.08,720.16,726.96,11579958,HDFC,HDFCBANK.NS,0.57,8.92
2022-02-07,698.31,722.49,694.43,719.21,12268042,HDFC,HDFCBANK.NS,-3.66,28.06
2022-02-08,695.31,703.21,687.08,702.23,13981130,HDFC,HDFCBANK.NS,-0.43,16.12
2022-02-09,712.31,713.31,697.76,701.09,11308342,HDFC,HDFCBANK.NS,2.45,15.55
2022-02-10,725.39,730.34,714.24,720.12,14314530,HDFC,HDFCBANK.NS,1.84,16.1
2022-02-11,722.42,725.35,713.22,713.58,10711104,HDFC,HDFCBANK.NS,-0.41,12.13
2022-02-14,700.95,713.19,698.85,708.7,14656620,HDFC,HDFCBANK.NS,-2.97,14.34
2022-02-15,721.92,725.3,700.64,702.04,13135066,HDFC,HDFCBANK.NS,2.99,24.66
2022-02-16,720.95,729.98,716.79,729.79,10032264,HDFC,HDFCBANK.NS,-0.14,13.2
2022-02-17,716.55,723.92,714.41,719.69,7351208,HDFC,HDFCBANK.NS,-0.61,9.51
2022-02-18,719.33,721.54,708.91,712.65,7796128,HDFC,HDFCBANK.NS,0.39,12.63
2022-02-21,723.97,728.06,711.34,715.36,7468066,HDFC,HDFCBANK.NS,0.64,16.72
2022-02-22,718.55,723.97,707.72,708.6,9536196,HDFC,HDFCBANK.NS,-0.75,16.24
2022-02-23,713.88,725.68,711.39,725.39,9029562,HDFC,HDFCBANK.NS,-0.65,14.29
2022-02-24,675.12,701.54,669.29,689.63,23630766,HDFC,HDFCBANK.NS,-5.43,32.25
