date,close,high,low,open,volume,stock_name,ticker,daily_return_pct,price_range
2022-01-03,1704.25,1718.25,1694.64,1694.64,3329616,Infosys,INFY.NS,,23.61
2022-01-04,1704.88,1711.61,1685.89,1704.25,3921999,Infosys,INFY.NS,0.04,25.72
2022-01-05,1655.95,1708.24,1651.78,1705.64,6995719,Infosys,INFY.NS,-2.87,56.47
2022-01-06,1631.85,1641.01,1615.87,1641.01,6449205,Infosys,INFY.NS,-1.46,25.14
2022-01-07,1628.71,1648.19,1621.97,1629.74,4834389,Infosys,INFY.NS,-0.19,26.21
2022-01-10,1661.43,1678.62,1627.54,1629.34,7857560,Infosys,INFY.NS,2.01,51.08
2022-01-11,1665.78,1678.71,1660.89,1665.24,5142287,Infosys,INFY.NS,0.26,17.82
2022-01-12,1685.4,1695.77,1669.73,1677.72,5362535,Infosys,INFY.NS,1.18,26.03
2022-01-13,1702.77,1716.86,1675.43,1710.13,14277630,Infosys,INFY.NS,1.03,41.43
2022-01-14,1731.99,1735.27,1688.58,1689.48,7688506,Infosys,INFY.NS,1.72,46.68
2022-01-17,1741.1,1754.03,1733.02,1740.25,5262464,Infosys,INFY.NS,0.53,21.01
2022-01-18,1724.27,1746.04,1715.92,1725.48,3690315,Infosys,INFY.NS,-0.97,30.12
2022-01-19,1676.06,1720.0,1672.29,1720.0,5747770,Infosys,INFY.NS,-2.8,47.71
2022-01-20,1637.15,1658.96,1629.78,1655.37,5533463,Infosys,INFY.NS,-2.32,29.18
2022-01-21,1603.03,1623.05,1594.33,1611.38,8252758,Infosys,INFY.NS,-2.08,28.73
2022-01-24,1559.14,1587.73,1551.24,1584.45,7116712,Infosys,INFY.NS,-2.74,36.49
2022-01-25,1545.98,1562.01,1526.55,1549.98,9137653,Infosys,INFY.NS,-0.84,35.46
2022-01-27,1506.89,1534.81,1494.68,1527.9,11231734,Infosys,INFY.NS,-2.53,40.13
2022-01-28,1513.71,1550.83,1507.7,1509.04,10998502,Infosys,INFY.NS,0.45,43.13
2022-01-31,1558.6,1570.54,1539.88,1542.26,8788872,Infosys,INFY.NS,2.97,30.66
2022-02-01,1590.78,1597.92,1557.25,1585.44,5119935,Infosys,INFY.NS,2.06,40.67
2022-02-02,1604.29,1609.41,1590.73,1606.0,4253717,Infosys,INFY.NS,0.85,18.67
2022-02-03,1560.71,1597.02,1556.62,1597.02,3832922,Infosys,INFY.NS,-2.72,40.4
2022-02-04,1563.0,1574.53,1535.21,1554.83,4700077,Infosys,INFY.NS,0.15,39.32
2022-02-07,1539.57,1554.83,1521.97,1546.03,4310209,Infosys,INFY.NS,-1.5,32.86
2022-02-08,1541.63,1548.54,1522.51,1535.08,6053401,Infosys,INFY.NS,0.13,26.03
