date,close,high,low,open,volume,stock_name,ticker,daily_return_pct,price_range
2022-01-03,3386.36,3397.22,3321.83,3326.26,2346158,TCS,TCS.NS,,75.4
2022-01-04,3445.79,3449.69,3380.99,3398.2,2488606,TCS,TCS.NS,1.75,68.7
2022-01-05,3424.68,3432.7,3381.61,3428.27,1733031,TCS,TCS.NS,-0.61,51.09
2022-01-06,3377.22,3401.66,3345.78,3381.26,1810293,TCS,TCS.NS,-1.39,55.88
2022-01-07,3418.07,3428.18,3367.42,3388.35,2460591,TCS,TCS.NS,1.21,60.76
2022-01-10,3441.44,3528.5,3424.72,3528.5,3937092,TCS,TCS.NS,0.68,103.78
2022-01-11,3473.42,3481.49,3420.29,3420.29,1906106,TCS,TCS.NS,0.93,61.2
2022-01-12,3423.74,3485.04,3403.03,3481.49,3203744,TCS,TCS.NS,-1.43,82.0
2022-01-13,3457.45,3479.71,3421.17,3475.28,6684507,TCS,TCS.NS,0.98,58.54
2022-01-14,3519.76,3527.61,3423.88,3439.67,3348123,TCS,TCS.NS,1.8,103.74
2022-01-17,3565.0,3586.16,3514.57,3541.54,3442604,TCS,TCS.NS,1.29,71.58
2022-01-18,3539.68,3585.0,3530.27,3578.13,2389041,TCS,TCS.NS,-0.71,54.73
2022-01-19,3478.41,3564.91,3474.72,3564.91,3102539,TCS,TCS.NS,-1.73,90.19
2022-01-20,3400.13,3483.16,3386.31,3474.28,6176776,TCS,TCS.NS,-2.25,96.85
2022-01-21,3406.3,3422.34,3350.86,3382.76,3112358,TCS,TCS.NS,0.18,71.48
2022-01-24,3351.08,3420.65,3323.31,3412.08,3258414,TCS,TCS.NS,-1.62,97.34
2022-01-25,3349.79,3384.89,3307.41,3349.43,3330501,TCS,TCS.NS,-0.04,77.48
2022-01-27,3242.59,3317.36,3221.13,3315.23,5718297,TCS,TCS.NS,-3.2,96.23
2022-01-28,3278.84,3314.16,3239.7,3239.7,3143862,TCS,TCS.NS,1.12,74.46
2022-01-31,3319.89,3339.22,3306.7,3331.22,2739393,TCS,TCS.NS,1.25,32.52
2022-02-01,3377.11,3383.65,3320.02,3349.88,2105169,TCS,TCS.NS,1.72,63.62
2022-02-02,3426.47,3433.4,3377.11,3401.33,1984212,TCS,TCS.NS,1.46,56.29
2022-02-03,3398.39,3449.84,3390.8,3421.85,1960538,TCS,TCS.NS,-0.82,59.04
2022-02-04,3389.78,3398.48,3348.99,3390.13,2307366,TCS,TCS.NS,-0.25,49.49
2022-02-07,3357.88,3404.79,3337.57,3368.54,1919149,TCS,TCS.NS,-0.94,67.22
2022-02-08,3326.29,3376.27,3306.34,3369.03,2946443,TCS,TCS.NS,-0.94,69.93
2022-02-09,3341.48,3356.94,3328.64,3332.11,1638721,TCS,TCS.NS,0.46,28.3
2022-02-10,3350.19,3367.47,3339.22,3367.47,2112459,TCS,TCS.NS,0.26,28.26
2022-02-11,3283.19,3334.33,3278.79,3334.33,3851488,TCS,TCS.NS,-2.0,55.54
2022-02-14,3317.67,3370.54,3296.57,3309.01,5951745,TCS,TCS.NS,1.05,73.97
2022-02-15,3392.35,3407.64,3330.33,3364.1,3931683,TCS,TCS.NS,2.25,77.3
2022-02-16,3388.18,3424.61,3381.87,3415.63,3256906,TCS,TCS.NS,-0.12,42.74
2022-02-17,3362.5,3407.64,3357.88,3398.75,3134372,TCS,TCS.NS,-0.76,49.76
2022-02-18,3371.12,3390.71,3338.86,3348.99,3688883,TCS,TCS.NS,0.26,51.85
2022-02-21,3304.92,3401.24,3292.61,3385.42,7465922,TCS,TCS.NS,-1.96,108.63
2022-02-22,3186.74,3259.16,3172.17,3243.25,5408531,TCS,TCS.NS,-3.58,86.99
2022-02-23,3166.66,3219.17,3159.42,3208.6,2426203,TCS,TCS.NS,-0.63,59.76
2022-02-24,3022.58,3095.62,3013.2,3086.86,5039136,TCS,TCS.NS,-4.55,82.41
2022-02-25,3128.41,3136.62,3076.2,3081.53,2549723,TCS,TCS.NS,3.5,60.42
2022-02-28,3158.13,3166.61,3070.78,3101.08,3288942,TCS,TCS.NS,0.95,95.83
2022-03-02,3150.97,3173.9,3115.3,3156.62,2761341,TCS,TCS.NS,-0.23,58.6
2022-03-03,3149.42,3179.81,3136.71,3165.81,1928039,TCS,TCS.NS,-0.05,43.1
2022-03-04,3131.6,3164.35,3098.46,3111.3,2370257,TCS,TCS.NS,-0.57,65.89
2022-03-07,3096.55,3152.62,3049.15,3065.54,3054130,TCS,TCS.NS,-1.12,103.47
2022-03-08,3198.78,3206.82,3074.42,3074.42,3300992,TCS,TCS.NS,3.3,132.4
2022-03-09,3227.79,3246.81,3196.2,3203.27,2719654,TCS,TCS.NS,0.91,50.6
2022-03-10,3217.44,3273.46,3212.15,3273.46,2005441,TCS,TCS.NS,-0.32,61.31
2022-03-11,3198.07,3234.23,3192.47,3201.71,1623423,TCS,TCS.NS,-0.6,41.76
2022-03-14,3237.03,3241.79,3181.05,3181.05,1765688,TCS,TCS.NS,1.22,60.73
2022-03-15,3193.4,3251.25,3185.85,3251.25,3651133,TCS,TCS.NS,-1.35,65.4
2022-03-16,3248.49,3259.25,3213.26,3234.81,3090475,TCS,TCS.NS,1.73,45.98
2022-03-17,3263.47,3296.57,3252.4,3284.66,3600452,TCS,TCS.NS,0.46,44.16
2022-03-21,3222.55,3300.08,3212.15,3284.13,2413831,TCS,TCS.NS,-1.25,87.92
2022-03-22,3288.52,3297.45,3221.04,3234.37,2907611,TCS,TCS.NS,2.05,76.42
2022-03-23,3298.7,3314.16,3278.79,3294.79,1596195,TCS,TCS.NS,0.31,35.36
2022-03-24,3331.97,3339.39,3283.24,3287.68,1879046,TCS,TCS.NS,1.01,56.16
2022-03-25,3294.3,3358.32,3262.8,3340.9,1690133,TCS,TCS.NS,-1.13,95.52
2022-03-28,3294.52,3299.23,3253.2,3283.24,1760990,TCS,TCS.NS,0.01,46.03
2022-03-29,3292.43,3307.23,3279.68,3283.02,2689063,TCS,TCS.NS,-0.06,27.55
2022-03-30,3315.71,3321.45,3293.19,3321.45,1583455,TCS,TCS.NS,0.71,28.26
2022-03-31,3323.18,3336.24,3305.63,3323.22,2168110,TCS,TCS.NS,0.23,30.61
2022-04-01,3339.88,3343.66,3312.6,3330.33,1387014,TCS,TCS.NS,0.5,31.06
2022-04-04,3350.19,3358.77,3320.65,3342.77,1472994,TCS,TCS.NS,0.31,38.12
2022-04-05,3389.69,3408.17,3351.66,3351.66,2314947,TCS,TCS.NS,1.18,56.51
2022-04-06,3336.86,3384.8,3315.36,3384.8,2051729,TCS,TCS.NS,-1.56,69.44
2022-04-07,3273.6,3328.11,3269.02,3328.11,2494829,TCS,TCS.NS,-1.9,59.09
2022-04-08,3274.93,3292.12,3236.59,3278.79,2296773,TCS,TCS.NS,0.04,55.54
2022-04-11,3284.48,3298.65,3248.67,3278.79,2291660,TCS,TCS.NS,0.29,49.98
2022-04-12,3279.77,3322.33,3241.79,3272.57,4483476,TCS,TCS.NS,-0.14,80.55
2022-04-13,3253.87,3296.43,3248.18,3293.9,1621672,TCS,TCS.NS,-0.79,48.25
2022-04-18,3134.89,3207.71,3129.96,3207.71,3820792,TCS,TCS.NS,-3.66,77.75
2022-04-19,3085.0,3166.44,3055.9,3154.4,3170014,TCS,TCS.NS,-1.59,110.54
2022-04-20,3160.44,3171.41,3092.2,3109.97,2640370,TCS,TCS.NS,2.45,79.22
